19:00:37–19:00:40  Say '不会是录满了吧？'
19:00:40–19:00:41  Say '啊！'
19:00:41–19:00:45  Wave in front of the wave-operated door sensor on the elevator wall
19:00:45–19:00:50  Look at the traditional shop murals on the elevator wall
19:00:50–19:00:55  Say '我不就是在充电吗？'
19:00:55–19:00:58  Say '做什么？'
19:00:58–19:01:07  Say '那个软件。'
19:01:07–19:01:13  View an eye tracking calibration interface in a crowded elevator
19:01:14–19:01:18  View the device dashboard app showing connection status and battery levels
19:01:19–19:01:21  Lower phone as elevator doors open revealing a station concourse with purple walls and white tree branch graphics
19:01:22–19:01:27  Follow other commuters along the station corridor from the elevator
19:01:28–19:01:37  Walk down the concourse past large artistic wall murals depicting bustling street scenes
19:01:37–19:01:39  Say '你要亲吗？' to my companion.
19:01:40–19:01:42  Say '好热呀！热了。要脱衣服吗？'
19:01:43–19:01:47  Look at advertising lightboxes on the right wall while companion replies '要。'
19:01:48–19:01:56  Say '可是你脱衣服还要脱书包，'
19:01:57–19:02:04  Say '脱书包还要牵到一起。'
19:02:05–19:02:06  Look at a red health supplement advertisement on the right wall.
19:02:07–19:02:18  Walk straight down the MTR station corridor
19:02:18–19:02:22  Look at the station maps and exit directional signage on the right wall
19:02:22–19:02:26  Continue walking down the corridor
19:02:26–19:02:30  Hold a small white remote or device
19:02:30–19:02:37  Walk toward the moving walkway and train directional overhead sign
19:02:37–19:02:42  Stand near the entrance of a long MTR station corridor
19:02:43–19:02:50  Raise right hand briefly while walking
19:02:51–19:02:56  Advance down the corridor as commuters move past on the walkway
19:02:57–19:03:03  Watch pedestrians pass by in the opposite direction on the moving walkway
19:03:04–19:03:06  Walk forward in the corridor by the walkway transition area
19:03:07–19:03:09  Walk through a subway station hallway.
19:03:10–19:03:17  Walk down the station corridor.
19:03:18–19:03:26  Walk past various advertising billboards and station direction signs.
19:03:27–19:03:36  Walk through the station passage.
19:03:37–19:03:43  walk down a station concourse corridor
19:03:44–19:03:52  walk past retail shops including a convenience store and a snack shop
19:03:53–19:04:00  walk past an MTR shops directory board and an escalator leading down
19:04:01–19:04:06  approach the automated ticket barriers and station gates
19:04:07–19:04:08  Approach an MTR station ticket barrier
19:04:08–19:04:08  Tap phone on the gate scanner
19:04:09–19:04:10  Walk through the open turnstile gate into the station concourse
19:04:11–19:04:16  Walk across the station concourse toward the escalators
19:04:17–19:04:17  Step onto the downward-moving escalator
19:04:18–19:04:36  Ride the escalator downwards
19:04:37–19:04:41  I step onto the subway platform while my companion says, '我我也给你那个呀。对，然后你们俩都给了我一个。对啊。'
19:04:41–19:04:43  I ask my companion, '你那个是养了多久？'
19:04:43–19:04:46  I walk along the platform as my companion replies, '我不知道啊，我从发给你的那天就开始养了。'
19:04:46–19:04:49  I clarify, '不是，是那个人卖的时候，他那个是养了多久？'
19:04:49–19:04:52  I walk along the platform as my companion answers, '应该没怎么养吧，应该是卖的时候现注册。'
19:04:52–19:04:55  I walk towards Platform 1 screen doors as my companion says, '谢老师那个是养了三三个多月了。'
19:04:55–19:05:01  I say, '那用谢老师那个吧，先，封了再用我那个。'
19:05:01–19:05:06  I say, '啊，别忘了，那是闲鱼链接。'
19:05:07–19:05:10  Board the subway train
19:05:11–19:05:15  Walk into the train carriage past other passengers
19:05:16–19:05:19  Sit down on an empty metallic bench seat
19:05:20–19:05:26  Look across the carriage at the opposite passenger
19:05:27–19:05:36  Look at the station signage and safety labels on the opposite window
19:05:37–19:05:37  Observe the interior of the MTR train carriage and a seated passenger
19:05:38–19:05:47  Scan the train interior, passengers, and railway signage
19:05:48–19:05:56  Observe structural elements and passengers inside the train interior
19:05:57–19:06:07  Look towards the opposite side of the train doors
19:06:07–19:06:09  Listen to my companion
19:06:09–19:06:11  Reply to my companion
19:06:11–19:06:14  Look at my companion
19:06:14–19:06:20  Suggest playing in Hong Kong instead to my companion
19:06:20–19:06:24  Listen to my companion's agreement
19:06:24–19:06:37  Propose a mutual travel plan to visit both Shenzhen and Fuqing
19:06:37–19:06:43  I listen to my companion talk about not wanting to go to Shenzhen.
19:06:43–19:06:45  I suggest changing the destination.
19:06:45–19:06:47  I listen to my companion suggest Zhuhai.
19:06:47–19:06:53  I agree to Zhuhai, mentioning we can't go this week.
19:06:53–19:07:06  I suggest visiting Macau first if we go to Zhuhai.
19:07:07–19:07:11  Sit inside a moving MTR train carriage
19:07:12–19:07:22  Listen to travel options
19:07:23–19:07:37  Talk about shared bikes in Zhuhai
19:07:37–19:07:57  Scroll through email inbox and notifications
19:07:58–19:08:02  Watch a short-video feed showing a cat video
