15:06:16–15:06:18  Open the wardrobe curtain.
15:06:19–15:06:21  Pull out a folded blue-and-white checkered blanket from the wardrobe shelf.
15:06:22–15:06:24  Turn towards the bed holding the bundled blue checkered blanket.
15:06:25–15:06:26  Say '我在跟我的眼镜说话' to my roommate.
15:06:27–15:06:27  Turn toward the bed to spread the blanket.
15:06:28–15:06:31  Say '让他 understand 我现在的 feelings' while spreading the blue checkered blanket over the bed.
15:06:32–15:06:34  Watch the blanket settle flat across the bed.
15:06:35–15:06:36  Say 'It's not fine, bro.' reaching toward the blanket.
15:06:37–15:06:40  Adjust the white-and-green patterned pillow at the head of the bed.
15:06:41–15:06:45  Smooth the blue checkered blanket neatly over the pillow and bed.
15:06:46–15:06:53  Spread the top section of the blue checkered duvet toward the head of the bed along the wall.
15:06:54–15:07:02  Pull the duvet down toward the foot of the bed to flatten the side edge near the headboard.
15:07:03–15:07:07  Tuck the corner of the duvet into the gap between the bed and the desk.
15:07:08–15:07:13  Inspect the bed to check the alignment and smoothness of the duvet.
15:07:14–15:07:15  Pull both bottom corners of the duvet to straighten the lower edge.
15:07:16–15:07:21  I pull the blue plaid duvet on my bed up toward the top corner.
15:07:21–15:07:30  I tuck the edge of the blue duvet against the wall.
15:07:30–15:07:34  I pull the bottom edge of the duvet taut to straighten out wrinkles.
15:07:34–15:07:39  I smooth out the corner of the duvet near the power strip.
15:07:39–15:07:40  I say '吃吧'.
15:07:40–15:07:42  I tuck the top of the duvet against the wooden partition.
15:07:42–15:07:43  I say '吃'.
15:07:43–15:07:46  I look across the room toward the study desk, rolling cart, and chair.
15:07:46–15:07:51  Look at the storage shelf and items by the bedroom doorway.
15:07:52–15:07:54  Look toward a person working in the kitchen.
15:07:55–15:07:56  Ask the person in the kitchen '有辣椒吗？'.
15:07:57–15:07:58  Say '外婆菜炒蛋。' to the person in the kitchen.
15:07:58–15:07:59  Repeat '外婆菜炒蛋。'.
15:08:00–15:08:01  Say '炒辣椒。'.
15:08:02–15:08:06  Say '不要饭了，不要饭。不要饭。辣，外婆菜炒蛋炒辣椒。'.
15:08:07–15:08:09  Watch the person moving in the kitchen.
15:08:10–15:08:11  Reiterate '不要饭。' to the person.
15:08:12–15:08:15  Look toward the bed, small side table, and study desk in the bedroom.
15:08:16–15:08:18  I stand in my bedroom.
15:08:19–15:08:22  I push open the sliding window frame.
15:08:23–15:08:31  I gaze out of the open window at the lush forested hillside and distant buildings.
15:08:32–15:08:33  I turn around away from the window back into the room.
15:08:33–15:08:36  I say 'Also, I'm just so fucking tired, bro. Now.'
15:08:37–15:08:39  I walk up to the desk.
15:08:40–15:08:42  I sit down at the desk.
15:08:42–15:08:45  I say '让我给他充一百块钱，充五十块钱。'
15:08:46–15:08:50  Look at the online spreadsheet
15:08:46–15:08:52  Say '嗯。'
15:08:53–15:08:54  Say '是。'
15:08:55–15:08:59  Examine the contents of the table
15:09:00–15:09:05  Switch to a Google search tab
15:09:06–15:09:10  Type a question
15:09:11–15:09:16  View the AI search prompt results
15:09:16–15:09:19  Reach toward smartphone.
15:09:20–15:09:21  Unlock smartphone displaying a short video about used car valuation.
15:09:22–15:09:24  Launch Alipay via 3D Touch quick actions menu.
15:09:25–15:09:33  Scan payment QR code prompting to move closer.
15:09:34–15:09:42  Align camera with screen displaying recharge confirmation of ¥50.00.
15:09:43–15:09:45  Lower phone as notification prompt and error message appear.
15:09:46–15:09:54  Open WeChat chat list
15:09:55–15:09:59  Grab wireless mouse
15:10:00–15:10:01  Say '嗯。'
15:10:02–15:10:14  Load new webpage
15:10:15–15:10:15  View OSF project page
15:10:16–15:10:25  I browse web pages.
15:10:26–15:10:28  I reach toward my phone.
15:10:28–15:10:31  I close the laptop lid.
15:10:31–15:10:33  I reach for items next to the closed laptop.
15:10:33–15:10:36  I say '让我看一下那个 meta learning，搞一搞有什么有意思的东西。'
15:10:36–15:10:39  I disconnect the charging cable on the desk.
15:10:39–15:10:40  I listen to the other person in the room.
15:10:40–15:10:45  I hold the cable.
15:10:46–15:10:48  Look at the single bed, the clothes rack by the bay window, and the desk area.
15:10:49–15:10:49  Say '好吧'.
15:10:50–15:10:51  Turn towards the open room doorway where my roommate stands near the white storage rack.
15:10:52–15:10:53  Look down at the blue plaid duvet at the foot of the bed.
15:10:54–15:10:55  Say '这主要是'.
15:10:55–15:11:00  Pull the blue plaid duvet cover from the foot of the bed to straighten it across the mattress.
15:11:01–15:11:06  Tug the side of the duvet cover towards the headboard to align it.
15:11:07–15:11:12  Smooth down the edge and surface of the blue checkered duvet.
15:11:13–15:11:15  Inspect the neatly straightened duvet cover on the made bed.
15:11:16–15:11:18  Turn toward the bay window area where bedding and clothes are piled.
15:11:18–15:11:27  Pick up a blue and white cartoon bear pillowcase from the pile by the window.
15:11:28–15:11:34  Slide a white pillow into the open pillowcase.
