23:02:18–23:02:21  I say '哎，我操，这可以哈！'.
23:02:21–23:02:24  I say '我这个眼镜充了这么久还是百分之九的电，说明我根本就'.
23:02:24–23:02:27  I rummage inside the paper bag.
23:02:27–23:02:30  I say '帮我拎一下' to my companion.
23:02:30–23:02:34  I step off the escalator.
23:02:34–23:02:38  I say '说明我这个根本就不费电。'.
23:02:38–23:02:42  I walk across the concourse.
23:02:42–23:02:45  I say '不知道眼镜充了多少？'.
23:02:45–23:02:48  I touch my smart glasses.
23:02:48–23:02:51  I look down at my bag.
23:02:52–23:02:55  I look toward the ticket barriers.
23:02:56–23:03:00  I approach the ticket barrier.
23:03:01–23:03:06  I scan my phone at the gate.
23:03:07–23:03:11  I walk into the concourse.
23:03:12–23:03:17  I say '我说充电宝，充电宝也是百分之九，然后就是我刚才已经录了有半个小时了吧，说明至少录了半个小时的电量了。'
23:03:18–23:03:22  I view the iOS Control Center.
23:03:23–23:03:25  I browse cat product listings.
23:03:26–23:03:31  I step onto the escalator.
23:03:32–23:03:43  I type in the Notes app.
23:03:44–23:03:47  I open the iOS Control Center.
23:03:48–23:03:53  I ride the escalator holding my phone.
23:03:54–23:04:02  I look toward the platform.
23:04:03–23:04:07  I step onto the platform.
23:04:08–23:04:13  I say '坐这个吧。'
23:04:14–23:04:17  I board the train carriage.
23:04:18–23:04:22  I observe passengers and luggage in the subway carriage.
23:04:23–23:04:26  I view adapter listings on my phone.
23:04:27–23:04:31  I look down the subway carriage aisle.
23:04:32–23:04:35  I watch the subway doors open.
23:04:36–23:04:45  I browse USB adapter listings on my phone.
23:04:46–23:04:47  The companion says '哎，无所谓啦，都好办。'
23:04:48–23:04:50  I select a UGREEN adapter listing on Taobao.
23:04:51–23:05:01  I open model options for the UGREEN adapter.
23:05:02–23:05:09  The companion says '哎呦，操！这人是谁？怎么老是在我视频下评论这种东西？看一下。'
23:05:10–23:05:17  The companion says '他已经在我好几个视频下评论这种东西了。抽象。反手一个。'
23:05:18–23:05:21  I select a Type-C to USB adapter.
23:05:22–23:05:33  I review adapter specifications.
23:05:34–23:05:37  I raise my left hand.
23:05:38–23:05:41  I tap a ¥12.5 adapter option.
23:05:42–23:05:47  I check the selected adapter details.
23:05:48–23:05:51  The companion says '往年今日，我在练普拉提。'
23:05:51–23:05:54  I select '[Type-C转USB3.2] 40702'.
23:05:55–23:06:06  I view the UGREEN adapter product preview.
23:06:07–23:06:13  I scroll through the adapter SKU list.
23:06:14–23:06:17  I inspect the Type-C adapter specifications.
23:06:18–23:06:27  I examine the UGREEN adapter SKU options on Taobao.
23:06:28–23:06:32  I dismiss the SKU selection modal on my phone.
23:06:33–23:06:40  I browse the product details and reviews on Taobao.
23:06:41–23:06:47  I say '哎哎！有啊，有有有头。我操！是，莫高，莫高啊！'.
23:06:48–23:06:53  I view a UGREEN USB adapter on Taobao.
23:06:54–23:07:00  I scroll through USB hub product images.
23:07:01–23:07:06  I browse SKU options for the USB adapter.
23:07:07–23:07:13  I tap the purchase button on Taobao.
23:07:14–23:07:18  I review the order details on Taobao.
23:07:18–23:07:24  I view the payment checkout screen.
23:07:25–23:07:26  I authorize the Alipay payment.
23:07:27–23:07:31  I view the payment confirmation.
23:07:32–23:07:47  I browse recommended electronics.
23:07:48–23:07:51  I view product diagrams for a 'TYPE-C公转USB3.2母' adapter.
23:07:52–23:07:57  I monitor a blank loading screen.
23:07:58–23:08:00  I say '哎我去，这不是海中。'
23:08:01–23:08:05  I read the metro emergency door signage.
23:08:06–23:08:08  I look at my companion.
23:08:09–23:08:17  I view a loading screen on my phone.
23:08:18–23:08:22  I browse computer accessories.
23:08:22–23:08:27  The companion says '蒸了去了，那真的要捂了这个味道。'
23:08:27–23:08:31  I say '你今天出汗了？'
23:08:31–23:08:36  The companion says '没太出其实。'
23:08:36–23:08:44  I say '为啥这么味儿呢？'
23:08:44–23:08:48  I tap the search bar.
23:08:48–23:08:51  I view Taobao product recommendations.
23:08:51–23:08:54  I tap the search area.
23:08:54–23:08:58  I view the Vital Source banner.
23:08:58–23:09:03  I search for adapters on Taobao.
23:09:03–23:09:07  I examine adapter search results.
23:09:07–23:09:12  My companion says '不是我买的是Type C转USB吧？别给我转反了。'
23:09:12–23:09:15  I say '对。'
23:09:15–23:09:18  I scroll through adapter results.
23:09:18–23:09:20  I switch apps to Bilibili.
23:09:21–23:09:35  I wait for Bilibili to load.
23:09:36–23:09:47  I scroll the Bilibili recommendation feed.
23:09:48–23:09:53  I browse Bilibili video feed.
23:09:53–23:09:58  I scroll Bilibili feed.
23:09:58–23:10:02  I tap a car video card.
23:10:03–23:10:08  I watch a BMW 7 series video.
23:10:08–23:10:17  I watch a luxury sedan video.
23:10:18–23:10:23  I watch a Douyin video about a BMW 730.
23:10:24–23:10:32  I watch the Douyin video segment on 7-series pricing.
23:10:33–23:10:47  I watch the Douyin video segment on the Audi A8.
23:10:48–23:10:52  I watch a car review video.
23:10:52–23:10:59  I watch the car showcase on my phone.
23:10:59–23:11:06  I read the video captions about car depreciation.
23:11:06–23:11:18  I watch the presenter discuss luxury car pricing.
23:11:18–23:11:22  I watch a car recommendation video on my phone.
23:11:23–23:11:25  I watch the BMW i7 segment in the video.
23:11:26–23:11:29  I watch the video discuss switching to an executive EV.
23:11:30–23:11:35  I watch the interior review segment in the video.
23:11:36–23:11:40  I watch the budget discussion in the video.
23:11:41–23:11:47  I watch the Porsche Panamera segment in the video.
23:11:48–23:11:53  I watch a car recommendation video.
23:11:54–23:12:02  I watch the Mercedes S-Class video segment.
23:12:03–23:12:17  I browse the Bilibili video feed.
23:12:18–23:12:26  I browse Bilibili video recommendations.
23:12:27–23:12:38  I look at my companion.
23:12:39–23:12:47  I observe passengers in the subway carriage.
23:12:48–23:12:52  I stand inside the subway train.
23:12:53–23:12:59  I look at my companion.
23:13:00–23:13:05  I hold up my phone.
23:13:06–23:13:09  I watch my companion place her hand on my chest.
23:13:10–23:13:15  I watch a video on my phone.
23:13:16–23:13:17  I look up at my companion.
23:13:18–23:13:22  I reply '我炒啊！' to companion.
23:13:22–23:13:26  I ask '那我从哪买？我还有别的渠道吗？'.
23:13:26–23:13:30  I reply '在深圳做还差不多。'.
23:13:30–23:13:38  Companion says '那都到深圳了，还自己做啥呀？那么多虾。'.
23:13:38–23:13:44  I say '也是哈。'.
23:13:44–23:13:47  I show phone to companion.
23:13:48–23:13:49  I say '我那天老是刷到推荐在深圳吃虾。'
23:13:49–23:13:52  My companion asks '虾尾吗？还是？'
23:13:52–23:13:55  I say '就是虾虾和虾尾都有，但是看上去。'
23:13:55–23:13:59  I say '哦，我操！今天在山姆不对，在 Costco 买的那个虾，好想吃！'
23:13:59–23:14:03  I say '我操，就是那种刚扒好皮煮好的，我也不知道煮没煮，应该是煮好的。'
23:14:04–23:14:08  I say '然后那个鲜虾，还是活的，然后就煮了，然后蘸一下那个酱。'
23:14:08–23:14:12  I say '行，也没多贵，那会员我看。'
23:14:12–23:14:15  I say '下次咱俩，下次咱俩能买点。'
23:14:15–23:14:17  I inspect the floor and shopping bags.
23:14:18–23:14:21  I look down the aisle.
23:14:21–23:14:25  I say '我没有下呀，这站下的人很多，但是没有坐。'
23:14:25–23:14:28  My companion says '正准备搬家呢，发现没落脚。你找房子没有？'
23:14:28–23:14:32  I say '没呢，还没定呢。我是想待在这儿，那待在这儿那边就都搁了，就肯定不去那边做玩意儿了。'
23:14:33–23:14:40  I say '肯定这边老。'
23:14:41–23:14:44  I grip the overhead handrail.
23:14:45–23:14:48  I stand holding the handrail.
23:14:48–23:14:51  I reply '啊，那你要这样说的话是谁？'
23:14:51–23:14:54  My companion says '得看你那个项目的导师。'
23:14:54–23:14:58  My companion says '指导性格好，哎，迟到都得说的，说吧。零三五。再过到中旬的时候吧。'
23:14:58–23:15:01  I ask '跟谁说？'
23:15:01–23:15:04  I ask '你跟着他这个，你能拿到什么？'
23:15:04–23:15:09  My companion explains advisor supervision while holding her phone.
23:15:10–23:15:13  My companion switches the video to landscape.
23:15:13–23:15:18  I ask '你能发刊吗？跟着他。'
23:15:18–23:15:22  My friend says '不是跟着他，就是我自己做到什么程度我就发呀。'
23:15:22–23:15:24  I say '就是他能帮你找渠道。'
23:15:24–23:15:26  My friend says '不需要渠道。自己投。'
23:15:26–23:15:28  My friend says '对啊。那看哪需要渠道啊。'
23:15:28–23:15:31  I ask '你是一作投吗？' and friend replies '对啊。'
23:15:31–23:15:34  I ask '会要你的吗？'
23:15:34–23:15:37  My friend says '那就看你做的咋样了。'
23:15:37–23:15:47  My friend says '我以为是要看导师呢，我以为就是一作，如果是导师的话会那个啥，或者是写写。'
23:15:48–23:15:53  I watch a video.
23:15:54–23:15:55  I watch a cooking video.
23:15:55–23:16:00  I say '冰冻虾尾，我操！这估计得挺腥。'
23:16:00–23:16:06  I watch cooking shrimp tails.
23:16:06–23:16:17  I watch an interview video.
23:16:18–23:16:22  I watch a video on my phone.
23:16:23–23:16:26  Companion says '他爸为啥两个刀印呢？对，这是他之前被砍的，还是怎么着的？'.
