19:23:25–19:23:27  I say "走吧，那车。"
19:23:27–19:23:29  Companion asks "现在多久啊？一个月？"
19:23:29–19:23:33  I say "一个月啊？我预估是一个月吧，可能到时候弄个数据集。"
19:23:33–19:23:36  Companion says "你找不到人了，我操！"
19:23:36–19:23:41  I say "那肯定找得到人。"
19:23:41–19:23:48  I say "你在大那那，你在那个各种大学里，那个学生一个月生活费才两千多，有很多学生就两千多已经算不错的了。"
19:23:48–19:23:54  I say "我一天给他两百。"
19:23:55–19:23:58  I say "一个月给他六千块钱，那肯定抢着要，一点问题没有"
19:23:59–19:24:03  I say "那隐私都不是事儿，只要在钱问题。"
19:24:04–19:24:10  I say "当然，隐私要保证啊，所有人脸都要打码，所有密码都要打码。"
19:24:11–19:24:17  I say "不是说不不保证隐私，那不需要，毕竟是毕竟是公开的。"
19:24:18–19:24:24  I say "我甚至觉得一个人一天一百也可以。"
19:24:25–19:24:30  I walk along the sidewalk while listening to my companion.
19:24:31–19:24:33  I glance at the parked truck.
19:24:34–19:24:43  I walk forward looking at the ground and wall.
19:24:44–19:24:48  I say '我都没有，你你挪哪来的？'
19:24:49–19:24:54  I look at an oncoming pedestrian.
19:24:55–19:24:58  My companion says '那要你那一两天数据没用，得长期数据。'
19:24:58–19:25:00  I say '一个月。'
19:25:01–19:25:05  My companion says '那可以啊，你可以报名啊。'
19:25:06–19:25:09  I say '给我三百块钱一天，我。'
19:25:10–19:25:13  My companion says '那不可能。'
19:25:14–19:25:20  My companion says '啊，两百块钱一天，你估计都抢着干了。'
19:25:21–19:25:24  I say '怎么？'
19:25:25–19:25:30  I walk along the sidewalk.
19:25:30–19:25:33  I glance toward the market entrance.
19:25:33–19:25:36  I walk toward the lit wall.
19:25:36–19:25:40  I read '西區副食品批發市場' on the wall.
19:25:40–19:25:44  I say '这是附属品批发区。慢慢去，慢慢去。'
19:25:44–19:25:54  I continue walking along the sidewalk.
19:25:55–19:25:59  I walk along the sidewalk.
19:26:00–19:26:02  I look at the generator room door.
19:26:03–19:26:07  I walk past the fenced gate.
19:26:08–19:26:12  I walk past a refrigerated truck.
19:26:13–19:26:14  I glance at my smartphone.
19:26:15–19:26:20  I walk toward my companion.
