22:46:25–22:46:30  I say '我要打视频会议骚扰。'
22:46:31–22:46:35  I say '检查，休息。Hello。'
22:46:36–22:46:41  I say '突突击检查。'
22:46:42–22:46:46  The other person asks '干嘛？'
22:46:47–22:46:54  I say '雷迪没有对你怎么样吧？'
22:46:55–22:47:00  My companion says '你看我，没有。你也是，叫什么叫啊？'.
22:47:00–22:47:03  My companion says '嗯嗯嗯嗯。'.
22:47:03–22:47:08  My companion says '我跟User A，我们俩现在在桅杆这里，我们在桅杆吹海风。'.
22:47:08–22:47:11  The caller asks '那还没回去？'.
22:47:11–22:47:14  My companion replies '这，还没呢。'.
22:47:14–22:47:18  My companion says '不回了，晚上就睡河边。'.
22:47:18–22:47:21  My companion says '睡河边了。哎。'.
22:47:21–22:47:24  My companion says '跟跟老跟跟老鼠一起。'.
22:47:25–22:47:29  I hear '好可爱呀！想把它养。'
22:47:30–22:47:35  I hear '嗨，你俩这是洗澡啊？最近准备睡觉吗？'
22:47:36–22:47:41  I hear '打算场场上看看投影。啊，看一下你们。'
22:47:42–22:47:54  I hear '哦，这个不错哎，这看着很好哎。'
22:47:55–22:47:58  A friend asks '你们去玩了哪些地方啊？今天？'.
22:47:58–22:48:01  Someone says '今天好多地方，我们逛了大。'.
22:48:01–22:48:04  A companion remarks '你们这起了个大早啊，看起来。'.
22:48:04–22:48:07  A friend replies '九点，好像九点钟出门的。'.
22:48:07–22:48:10  Someone exclaims '好早啊！好早啊！九点。'.
22:48:10–22:48:13  Someone says '我们十二点还没起床。'.
22:48:13–22:48:18  A friend retorts '放狗屁！我们我们十一点，我们十一点多。'.
22:48:18–22:48:21  A friend asks '你猜我们几点出门的？'.
22:48:21–22:48:24  Someone says '我们。'.
22:48:25–22:48:29  I say '我我们也是九点出门，但是是晚上九点。'
22:48:29–22:48:36  I say '我我没有，我跟你讲，我跟你讲，我们今天上午十一点去健身房了，十一点多钟去健身房，'
22:48:36–22:48:42  I say '然后然后出去吃了个饭，然后难难吃死了，'
22:48:42–22:48:48  I say '然后然后去超市买了两个粽子啥的，'
22:48:48–22:48:55  I say '然后我跟你讲晚上我们两个人，然后下午又睡了一下午，然后然后。'
22:48:55–22:49:00  I say '然后晚上，晚上我们两个全，我们两个全是碳水，我们两个吃了一碗泡面，两个粽子，五个马铃薯做的薯条，只有碳水。'
22:49:00–22:49:05  I say '没有，我们觉得很好吃。'
22:49:05–22:49:14  I say '然后，然后，然后，然后我们晚上来维港这边，刚又在麦当劳买那个鸡块，'
22:49:14–22:49:25  I say '他真的神经吧，他买了十八个鸡块，我真服了。'
22:49:25–22:49:30  A companion says '那个，那个榴莲榴莲冰淇淋好吃，好好吃。'
22:49:31–22:49:37  A companion says '哎，你们去那个厦门那个什么什么岛，叫什么岛来着？'
22:49:38–22:49:40  Someone says '鼓浪屿。'
22:49:41–22:49:44  A companion says '啊，鼓浪屿，对对对。'
22:49:45–22:49:48  Someone says '明天去。'
22:49:49–22:49:54  A companion says '下海了不？'
22:49:55–22:50:02  I say "我你们这就不懂了吧？User A这个人，他要是在那里，他决定就下去了。"
22:50:02–22:50:06  I say "你问他衣服湿了，懂吧？没事啊，反正会干的。"
22:50:06–22:50:13  I say "我说，我说那你，我说那你酣在身上，衣服湿在身上不会不舒服吗？"
22:50:13–22:50:18  I say "没事啊，风一吹到时候就干了。"
22:50:18–22:50:25  I say "松弛感低。"
22:50:25–22:50:28  A companion says '这哪有？这是刚上次买的新衣服。'
22:50:28–22:50:34  A companion says '鼓浪屿还挺好玩的，那上面有很多那个建筑，还挺好看。还有。'
22:50:34–22:50:38  A companion says '你们去打卡一下楚雨荨的家。'
22:50:38–22:50:43  A companion says '哦，对，你们，你不是在那上学吗？你就在那上学。'
22:50:43–22:50:46  I say '是，在那里。'
22:50:46–22:50:50  A companion says '你们你们故地重游了吗？'
22:50:50–22:50:54  A companion says '谁？你还能进去你的那个那个本科的学校？'
22:50:55–22:50:57  The companion asks '你还能进得去吗？'
22:50:57–22:51:05  I say '哦。可以。可以。哎呀。可不咋的。你们你们今天吃了些啥好吃的？我没我都没见着你给我发。'
22:51:05–22:51:15  The companion replies '中午吃的台湾菜，然后晚上吃的，一家厦门比较好吃的家常菜。'
22:51:15–22:51:24  I look at the walkway.
22:51:25–22:51:31  My companion says '谢老师给我发他在台湾吃的菜，看着好正宗，好台湾。我们吃那个三杯鸡。'
22:51:31–22:51:34  I say '那个那个我感觉还行。'
22:51:34–22:51:36  My companion asks '三杯鸡是？'
22:51:36–22:51:39  I say '三杯鸡是台湾菜啊！我去。'
22:51:39–22:51:45  I say '你咋知道谢老师吃的正宗？是因为他吃的上面写着台湾烤肠吗？'
22:51:45–22:51:51  My companion says '没有，因为，因没有，因为他本人就在台湾。'
22:51:51–22:51:55  I say '哦。'
22:51:55–22:52:00  My companion says '谢老师，谢老师说，他感觉台湾全是香港人。有道理哈，现在大陆过不去，是吧？'
22:52:00–22:52:04  A companion says '对啊，只有香港，只有香港。'
22:52:04–22:52:08  A companion says '所以国内只有香港能过去，香港、澳门可以过去。'
22:52:08–22:52:12  A companion asks '哎，澳门可不可以？'
22:52:12–22:52:16  A companion says '我也不知道可不可以。'
22:52:16–22:52:20  A companion asks '你俩看啥片了？'
22:52:20–22:52:24  Companions say '嗯。哇哦。'
22:52:25–22:52:30  The companion asks '哦。哈哈哈哈哈。你那怎么没没出片啊？怎么拍到发过来让我看看？'.
22:52:30–22:52:33  I say '我发你啦。'
22:52:33–22:52:39  The companion says '好了，算了，没没看呢，刚刚洗澡。'
22:52:39–22:52:47  The companion says '我还让你评价了，我说User A那张是不是像老嫂子？'
22:52:47–22:52:54  I say '不要，不要看，我没看。别。'
22:52:55–22:53:01  I say '看老嫂子，老嫂子没意思。'
22:53:01–22:53:14  I say '他他今天还他今天还特意让我给他还特意让我给他扎两个小辫儿，给他扎那个两个小辫子，给他把头发扎上去了。'
22:53:14–22:53:18  I say '可以。'
22:53:18–22:53:24  I say '这回这回是像托尼了，之前是像汉奸，这回是老嫂子。'
22:53:25–22:53:30  I say '给给大家介绍一下，这是我的姐妹，她叫孟小旭。'
22:53:30–22:53:33  My friend says '大家好，我是孟小旭。'
22:53:33–22:53:38  I say '不行，我要拉着孟昭旭看五哈。'
22:53:38–22:53:42  My friend says '什么？五哈是啥呀？'
22:53:42–22:53:49  I say '我要拉着孟昭旭看五哈，我要让他，我要让他，'
22:53:49–22:53:54  I say '我要让他爱上五哈。'
22:53:55–22:54:03  I listen to companion say '你知道我俩吃饭放啥吗？我俩吃饭放音乐，随机随机放。'
22:54:03–22:54:09  I listen to companion say '那吃饭得听歌，人家老有情调了。'
22:54:09–22:54:14  I listen to companion say '那是，不听下不去饭。'
22:54:14–22:54:18  I listen to companion say '啊，对。'
22:54:18–22:54:25  I sit quietly looking at the deck.
22:54:25–22:54:27  Someone says '点个蜡烛。哦，对。'
22:54:27–22:54:31  Someone says '哎，你俩，你俩，你俩。好的，拜拜。'
22:54:32–22:54:36  Someone asks '哎，你们这是做拼豆了，是不是？哦哦哦！'
22:54:36–22:54:42  Someone says '你什么？看一下，看一下你们这里，看一下。'
22:54:43–22:54:47  Someone asks '啥材质的呀？'
22:54:48–22:54:54  Someone replies '就是那种，那个叫什么？就是银的。银色的那个。'
22:54:55–22:54:57  My companion says '酷。累不累啊？'.
22:54:57–22:55:04  I say '做戒指，我感觉做戒指好累啊，一直在打打打打打。'.
22:55:04–22:55:07  My companion says 'OK。好哈。'.
22:55:07–22:55:12  My companion says '鞋给我，你有病啊！'.
22:55:12–22:55:18  I say '他给芬达安了个家。'.
22:55:18–22:55:25  I say '安了安了个座。'.
22:55:25–22:55:32  My companion says '他把我鞋抢走了！快点，人家改，人家改改人了都。'
22:55:33–22:55:40  Someone says '哎，sorry。好。好好，拜拜，拜拜。拜拜。'
22:55:41–22:55:42  I look toward a skyscraper.
22:55:43–22:55:47  Someone says '芬达已经腌入味了。'
22:55:48–22:55:51  My companion says '好好亲啊，好好亲，拜拜。'
22:55:52–22:55:54  I view the harbour promenade.
22:55:55–22:55:57  I view the promenade bench.
22:55:58–22:56:00  I say 'That's fine. That's their rules. Bye bye.'
22:56:01–22:56:06  I walk along the promenade path.
22:56:07–22:56:10  I look at the landscaped area.
22:56:11–22:56:16  I walk toward the staircase landing.
22:56:17–22:56:20  I glance at the drink cup.
22:56:21–22:56:24  I walk down the staircase.
22:56:25–22:56:27  I descend the stairs.
22:56:27–22:56:28  I say "还好不粘。"
22:56:28–22:56:36  I descend the stairs.
22:56:36–22:56:40  I step onto the plaza.
22:56:40–22:56:42  My companion asks "那边也是尖东站吧？"
22:56:42–22:56:43  I look at my companion.
22:56:43–22:56:44  I reply "OK。"
22:56:44–22:56:45  My companion replies "OK。"
22:56:45–22:56:47  I observe the Clock Tower and Cultural Centre.
22:56:47–22:56:55  I walk across the plaza.
22:56:55–22:56:59  My companion says '你们可能他们只是没跟你说而已。'
22:56:59–22:57:02  I observe the street traffic.
22:57:02–22:57:08  My companion says '人家还问我第一次是什么感受，你说第一次是感受最不好的。'
22:57:08–22:57:11  I look at the advertising kiosk.
22:57:11–22:57:15  My companion says '从从这之后我都会变得越来越好。'
22:57:15–22:57:18  I look at the Prudential building.
22:57:18–22:57:21  My companion says '但是你也不要害怕。'
22:57:21–22:57:24  I look at the brick pavement.
22:57:25–22:57:28  I walk along the sidewalk.
22:57:28–22:57:31  I say '然后他说前戏是什么？我说前戏要懂吧。'
22:57:32–22:57:35  I look at a double-decker bus.
22:57:36–22:57:39  I say 'Lazy。我们这二十都不懂，偏白看了。这是偏好，你在哪有？'
22:57:40–22:57:43  I walk past the utility cabinet.
22:57:44–22:57:46  I point forward while saying 'OK。OK。'.
22:57:47–22:57:50  I look at the double-decker bus 8A.
22:57:51–22:57:54  I cross the street holding a drink.
22:57:55–22:58:00  I cross the street carrying an iced drink.
22:58:00–22:58:04  I observe the waiting double-decker bus.
22:58:04–22:58:07  I look at the outdoor LED advertisement display.
22:58:07–22:58:11  I observe the green pedestrian traffic signal.
22:58:11–22:58:14  I step onto the sidewalk.
22:58:14–22:58:19  My companion says '香山花园好像是在这边，在那边呢，还得往东边走走走走。'
22:58:19–22:58:22  I say '对对对对对，对的对的对的。'
22:58:22–22:58:24  I walk toward the crossing.
22:58:25–22:58:30  I say '这个里头，那天去年过生日的时候，就跟同学来这儿逛了一圈。这个里头。'
22:58:30–22:58:32  My companion asks '跟谁在聊啊？'
22:58:32–22:58:35  I say '不是，跟那个我那个。'
22:58:35–22:58:36  My companion says '后卫啊。'
22:58:36–22:58:38  I say '对，唐后卫。'
22:58:39–22:58:43  I walk across the zebra crossing.
22:58:44–22:58:46  I say '摸酸奶。'
22:58:46–22:58:48  My companion says 'Yeah。'
22:58:48–22:58:54  I say '看一眼。摸酸奶不在这儿。'
22:58:55–22:58:57  I say 'Yeah, it's like this.'
22:58:57–22:59:01  I enter the 1881 Heritage plaza.
22:59:01–22:59:06  I walk under the arched overpass.
22:59:06–22:59:09  I view the illuminated heritage facade.
22:59:09–22:59:12  I say 'It's pretty beautiful here, and you can go up.'
22:59:12–22:59:14  I point toward the upper terrace.
22:59:14–22:59:16  I look at the outdoor escalator.
22:59:16–22:59:20  I walk into the central courtyard.
22:59:20–22:59:25  I view the illuminated 1881 Heritage building.
22:59:25–22:59:30  I say '哦，我知道那块有个吃饭的地儿，我不知道有有有有什么。'
22:59:30–22:59:33  I look at the illuminated building facade.
22:59:33–22:59:36  I walk past the spiral staircase.
22:59:37–22:59:39  I look at the retail storefronts.
22:59:40–22:59:44  I look at the ground lights and hedge planters.
22:59:45–22:59:48  I look at the 1881 Heritage pavilion.
22:59:49–22:59:53  I look at the engraved ground map.
22:59:54–22:59:55  I look towards the arched storefronts.
22:59:55–22:59:56  I look at the storefronts.
22:59:57–23:00:00  I read the pavement engraving '...seconds ahead of Greenwich'.
23:00:01–23:00:05  I say '嗯。OK。OK。Yeah。Yeah, of course.'.
23:00:06–23:00:10  I approach the escalator.
23:00:11–23:00:16  I observe the escalator landing.
23:00:17–23:00:20  I walk along the brick wall corridor.
23:00:21–23:00:24  I say '啊，跟那边是一样的呀。'.
23:00:25–23:00:29  I walk along the corridor.
23:00:29–23:00:34  I follow my companion down the pathway.
23:00:34–23:00:37  I look toward the plaza entrance.
23:00:37–23:00:40  I glance at the commemorative display board.
23:00:40–23:00:46  I say 'Oh, we need to go downstairs. I think. Take this elevator.'
