16:04:09–16:04:11  Say "怎么记录一会儿就要自己听？"
16:04:12–16:04:18  Read lecture slide points discussing "Not really. The sampling process is: 1. Pick a cluster center 2. Add Gaussian noise"
16:04:19–16:04:21  Look at the picture of two corgi puppies on the lecture slide
16:04:22–16:04:23  Glance at the header question "Do mixtures of Gaussians work for high-dimensional data?" on the slide
16:04:39–16:04:50  I read the Mixtures of Gaussians lecture slide.
16:04:51–16:04:51  I glance toward the whiteboard.
16:04:52–16:04:58  I examine the corgi example on the slide.
16:04:59–16:05:08  I study the Flow Models slide and mapping diagram.
16:05:09–16:05:12  I study the Flow Models invertible transform slide.
16:05:12–16:05:14  I scroll to the Change of Variables Formula slide.
16:05:14–16:05:18  I read the Change of Variables equations and Jacobian factor.
16:05:18–16:05:24  I read the invertibility and differentiability requirement note.
16:05:24–16:05:26  I glance toward the classroom chairs.
16:05:26–16:05:32  I re-read the p_θ(x) dx = p(z) dz equation.
16:05:32–16:05:38  I review the Change of Variables Formula header and z = f_θ(x) definition.
16:05:39–16:05:42  I study the Change of Variables formula.
16:05:42–16:05:46  I read the slide header.
16:05:46–16:05:48  I examine the derivative term.
16:05:48–16:05:51  I glance at the toolbar and whiteboard.
16:05:51–16:05:55  I re-read the formula equations.
16:05:55–16:05:58  I look toward the whiteboard.
16:05:58–16:06:01  I look at the transformation relation.
16:06:01–16:06:04  I look across the lecture hall chairs.
16:06:04–16:06:08  I read the invertibility requirement note.
16:06:09–16:06:15  I read the Change of Variables transformation equations.
16:06:16–16:06:21  I read the invertibility and differentiability requirements.
16:06:21–16:06:24  I say "嗯嗯。"
16:06:24–16:06:31  I read 'Change of Variables Formula'.
16:06:32–16:06:34  I look at the whiteboard.
16:06:34–16:06:39  I read the invertibility note.
16:06:39–16:06:53  I read the Change of Variables Formula slide.
16:06:53–16:06:58  I read the Flow Models slide diagram.
16:06:58–16:07:08  I review the Change of Variables Formula slide.
16:07:09–16:07:15  I read 'Change of Variables Formula'.
16:07:16–16:07:20  I place my right hand on the trackpad.
16:07:21–16:07:25  I read the transformation equations.
16:07:26–16:07:27  I glance at the empty chairs.
16:07:28–16:07:36  I say '嗯。'.
16:07:37–16:07:39  I look at 'Change of Variables Formula'.
16:08:09–16:08:15  I read the Flow Models change-of-variables probability density equation.
16:08:16–16:08:19  I examine the mapping annotation z = f_theta(x).
16:08:20–16:08:22  I look at the Jacobian determinant log term in the equation.
16:08:23–16:08:29  I read the Stochastic Gradient Descent optimization statement.
