17:04:58–17:05:00  I say "哦，是。"
17:05:00–17:05:04  I look at the balcony doors.
17:05:04–17:05:20  I gaze at the balcony sliding doors.
17:05:21–17:05:24  I hold a smartphone and a case.
17:05:24–17:05:27  I install the phone case onto the smartphone.
17:05:28–17:05:33  I remove the phone case.
17:05:34–17:05:52  I inspect the phone and case.
17:05:53–17:05:54  I lift the phone case.
17:05:55–17:05:57  I align the phone case with the phone.
17:05:58–17:06:04  I put an orange case on my smartphone.
17:06:04–17:06:08  I check my phone lock screen.
17:06:08–17:06:13  I adjust the phone case edges.
17:06:13–17:06:17  I remove the phone case.
17:06:17–17:06:21  I inspect the detached phone case.
17:06:21–17:06:24  I look toward the bedside area.
17:06:24–17:06:28  I look at the Wahaha water box.
17:06:28–17:06:32  I look at a cardboard delivery box.
17:06:33–17:06:34  I stand up.
17:06:35–17:06:51  I scan the desk and guitar bag.
17:06:52–17:06:55  I turn toward the mini refrigerator.
17:06:56–17:06:57  I pick up the air conditioner remote control.
17:06:58–17:07:02  I hold the air conditioner remote.
17:07:03–17:07:03  I look toward the air conditioner.
17:07:04–17:07:04  I say '哎。'
17:07:05–17:07:13  I look at the remote control.
17:07:14–17:07:22  I raise the temperature to 24°C.
17:07:23–17:07:25  I inspect the remote control.
17:07:26–17:07:27  I turn the remote control.
17:07:28–17:07:41  I hold an air conditioner remote.
17:07:41–17:07:45  I turn the remote control to face up.
17:07:45–17:07:50  I examine the remote keypad buttons.
17:07:50–17:07:57  I hold the remote control.
17:07:58–17:08:10  I inspect the MBO remote display.
17:08:10–17:08:24  I examine the MBO remote buttons.
17:08:24–17:08:28  I inspect the remote infrared emitter.
17:08:28–17:08:46  I inspect the remote control top.
17:08:47–17:08:49  I look down at the floor.
17:08:50–17:08:52  I look at the remote control.
17:08:53–17:08:57  I flip the MBO remote control.
17:08:58–17:09:16  I inspect the air conditioner remote display.
17:09:17–17:09:18  I glance down at the remote buttons.
17:09:19–17:09:21  I wake my smartphone to unlock with Face ID.
17:09:22–17:09:23  I check the WeChat chat list.
17:09:24–17:09:25  I lower my smartphone.
17:09:26–17:09:26  I look at the air conditioner remote.
17:09:27–17:09:28  I look up at the air conditioner.
17:09:28–17:09:30  I say 'I think it's working somehow.'
17:09:31–17:09:33  I say 'Yeah, working a little bit. Definitely working.'
17:09:34–17:09:37  I lower my hands.
17:09:38–17:09:41  I check the AC remote display.
17:09:42–17:09:44  I look at the air conditioner.
17:09:45–17:09:47  I view my phone home screen.
17:09:48–17:09:49  I view the Calendar.
17:09:50–17:09:51  I open the Messages app.
17:09:52–17:09:57  I view the technician SMS conversation.
17:09:58–17:09:59  I check Messages on my smartphone.
17:10:00–17:10:02  I recline onto the bed.
17:10:03–17:10:05  I say '啊！'.
17:10:06–17:10:27  I stare at the ceiling.
17:10:28–17:10:30  I say '嗯。'.
17:10:30–17:10:58  I look at the ceiling.
17:10:58–17:11:00  I say '嗯。'
17:11:00–17:11:14  I gaze at the ceiling.
17:11:14–17:11:16  I glance toward the wardrobe corner.
17:11:16–17:11:18  I look at the ceiling lamp.
17:11:18–17:11:28  I gaze at the ceiling.
17:11:28–17:11:34  I gaze at the ceiling.
17:11:34–17:11:36  I raise my smartphone and remote control.
17:11:36–17:11:37  I say '嗯。'
17:11:37–17:11:38  I check the smartphone lock screen.
17:11:38–17:11:58  I lower my hands.
17:11:58–17:12:18  I look at the ceiling light.
17:12:18–17:12:19  I answer an incoming call from 'XXX-XXXX-XXXX'.
17:12:19–17:12:20  I bring the iPhone to my ear.
17:12:20–17:12:24  I say '喂，那个空调就是制冷效果不太行。'
17:12:24–17:12:28  I listen to the caller on the phone.
17:12:28–17:12:35  I say '就是时好时坏的，有时候晚上开十六度，它吹出来的风不凉。'
17:12:35–17:12:38  I say '对，有时候。'
17:12:38–17:12:45  I say '现在嗯，有一点儿就是还行，有一点儿冷风，'
17:12:45–17:12:53  I say '就是这个空调一直波动，我不知道是跟什么有关系。'
17:12:53–17:12:57  I say '呃，二一年。对。'
17:12:58–17:13:07  I say '对啊，前前个月刚修过，刚充过那个符还是什么东西的。'
17:13:07–17:13:13  I say '我我我也不知道啊。对啊。'
17:13:13–17:13:20  I say '现在开有现在开有有制冷效果，'
17:13:20–17:13:23  I look toward the overhead cabinet.
17:13:23–17:13:28  I say '但是我在前两天报修的时候开了一个晚上，开开就是它一直都是常温风。'
17:13:28–17:13:31  I say '不知道为啥。'
17:13:31–17:13:38  I gaze at the ceiling light fixture.
17:13:38–17:13:40  I look at the air conditioner remote.
17:13:40–17:13:42  I pick up the air conditioner remote.
17:13:42–17:13:44  I check the air conditioner remote display.
17:13:44–17:13:48  I say '嗯，这怎么说吧？对。'
17:13:48–17:13:52  I look towards the balcony door.
17:13:52–17:13:57  I look at the Wahaha cardboard box.
